2026-01-17 16:17:45,356 | INFO | treinamento | ===== INICIO DA EXECUCAO =====
2026-01-17 16:17:45,358 | INFO | treinamento | Carregando dataset...
2026-01-17 16:17:45,386 | INFO | treinamento | Dataset carregado com 768 linhas e 9 colunas.
2026-01-17 16:17:45,418 | INFO | treinamento | Iniciando processamento em lotes...
2026-01-17 16:17:45,419 | INFO | treinamento | Processando lote 1 -> linhas 0 a 150
2026-01-17 16:17:45,419 | INFO | treinamento | Carga alta detectada — aumentando lote para 200
2026-01-17 16:17:45,420 | INFO | treinamento | Processando lote 1 -> linhas 150 a 350
2026-01-17 16:17:45,421 | INFO | treinamento | Carga alta detectada — aumentando lote para 250
2026-01-17 16:17:45,421 | INFO | treinamento | Processando lote 2 -> linhas 300 a 550
2026-01-17 16:17:45,423 | INFO | treinamento | Carga alta detectada — aumentando lote para 300
2026-01-17 16:17:45,423 | INFO | treinamento | Processando lote 2 -> linhas 450 a 750
2026-01-17 16:17:45,424 | INFO | treinamento | Carga alta detectada — aumentando lote para 350
2026-01-17 16:17:45,426 | INFO | treinamento | Processando lote 2 -> linhas 600 a 768
2026-01-17 16:17:45,426 | INFO | treinamento | Carga alta detectada — aumentando lote para 400
2026-01-17 16:17:45,427 | INFO | treinamento | Processando lote 2 -> linhas 750 a 768
2026-01-17 16:17:45,427 | INFO | treinamento | Carga baixa — reduzindo lote para 380
2026-01-17 16:17:45,427 | INFO | treinamento | Processamento em lotes finalizado.
2026-01-17 16:17:45,428 | INFO | root | ETAPA=treinamento_random_forest | TEMPO=0.01s
2026-01-17 16:17:45,431 | INFO | treinamento | Normalizando variáveis...
2026-01-17 16:17:45,437 | INFO | treinamento | Separando treino e teste...
2026-01-17 16:17:45,441 | INFO | treinamento | Aplicando SMOTE (balanceamento)...
2026-01-17 16:17:45,452 | INFO | treinamento | Dados preparados com sucesso.
2026-01-17 16:17:45,452 | INFO | treinamento | Treinando modelos base...
2026-01-17 16:17:45,706 | INFO | treinamento | BASE LR -> acc=0.729 recall=0.730 f1=0.647
2026-01-17 16:17:45,711 | INFO | treinamento | BASE RF -> acc=0.904 recall=0.865 f1=0.859
2026-01-17 16:17:45,712 | INFO | treinamento | {'evento': 'metricas_finais', 'modelo': 'RandomForest_Otimizado', 'accuracy': <function accuracy_score at 0x0000022738F72160>, 'recall': <function recall_score at 0x0000022738F73240>, 'f1': <function f1_score at 0x0000022738F72A20>}
2026-01-17 16:17:45,712 | INFO | treinamento | Iniciando otimizacao genetica...
2026-01-17 16:17:45,712 | INFO | treinamento | --- Geracao 1/3 ---
